	code	name	changepercent	trade	open	high	low	settlement	volume	turnoverratio	amount	per	pb	mktcap	nmc
2881	002845	同兴达	0.502	30.01	29.79	30.66	28.3	29.86	6691153	5.56997	194398422	54.564	4.134	703177.226304	360507.056976
2882	002843	泰嘉股份	1.3679999999999999	8.89	8.75	9.12	8.38	8.77	10450300	4.9764100000000004	91769997	30.655	3.326	186690.0	186686.999625
2883	002842	翔鹭钨业	-0.869	9.13	9.19	9.43	9.08	9.21	3738120	1.5974300000000001	34693874	38.042	2.75	249835.416248	213649.994228
2884	002841	视源股份	0.9480000000000001	108.64	107.76	109.33	106.0	107.62	1298671	0.32426000000000005	140176104	43.631	10.764	7257488.305984	4351130.036736
2885	002840	华统股份	-1.643	8.98	9.14	9.19	8.86	9.13	3174619	0.7289300000000001	28656008	18.327	2.3970000000000002	402444.60884	391093.88884
2886	002839	张家港行	0.529	5.7	5.65	5.73	5.6	5.67	23636792	1.64174	134067376	10.755	0.981	1030535.95398	820654.30743
2887	002838	道恩股份	-4.231	27.16	28.7	28.7	27.07	28.36	12494127	3.59544	346550382	66.244	6.425	1108075.651816	943807.235112
2888	002837	英维克	0.05	20.18	20.22	20.54	19.71	20.17	3147200	1.2724	63363732	26.553	4.835	650272.57088	499139.911498
2889	002836	新宏泽	9.99	10.9	10.28	10.9	10.28	9.91	4138396	2.5865	44786362	68.125	4.575	174400.0	174400.0
2890	002835	同为股份	-3.6790000000000003	11.78	11.93	12.2	11.53	12.23	2934750	2.50285	34717776	84.143	3.484	258780.593294	138128.230036
2891	002833	弘亚数控	-0.201	39.81	39.77	42.28	39.4	39.89	2904840	2.36158	118633594	17.693	5.283	861659.10528	489679.08324
2892	002832	比音勒芬	-2.282	14.99	15.35	15.42	14.92	15.34	2556871	0.7491300000000001	38486065	11.356	3.651	785588.552415	511625.917514
2893	002831	裕同科技	2.081	33.36	32.89	33.67	32.72	32.68	7093018	1.34699	234961638	27.921	4.3629999999999995	3126510.168768	1756675.523712
2894	002830	名雕股份	3.222	9.61	9.3	9.88	9.04	9.31	1975855	2.96664	18665940	53.389	2.066	128139.74	64005.0025
2895	002829	星网宇达	-3.768	45.71	46.65	47.1	45.3	47.5	8478017	8.85323	390012961	571.375	7.242	707065.31784	437727.535196
2896	002828	贝肯能源	-4.651	7.79	8.18	8.18	7.75	8.17	3438010	2.28608	27048953	35.409	1.592	156569.3404	117153.098773
2897	002827	高争民爆	-1.964	10.48	10.6	10.62	10.29	10.69	2476106	0.89714	25832021	116.444	3.836	289248.0	289248.0
2898	002826	易明医药	-2.121	8.77	8.96	8.97	8.68	8.96	1201220	0.8983800000000001	10540890	43.85	2.531	168181.413	117263.110474
2899	002825	纳尔股份	-3.111	14.64	14.83	14.94	14.0	15.11	3343971	3.67071	48477348	48.8	2.784	215121.688416	133368.420672
2900	002824	和胜股份	-2.896	13.41	13.67	14.38	13.34	13.81	4537199	4.21921	62192033	223.5	3.048	246123.15723	144206.646309
2901	002823	凯中精密	-3.052	9.53	9.9	9.9	9.42	9.83	1594638	1.02596	15233256	41.435	2.027	273591.69051	148124.082874
2902	002822	中装建设	-1.384	5.7	5.71	5.85	5.64	5.78	7164022	1.13743	40950447	13.902	1.25	411224.12652	359010.04032
2903	002821	凯莱英	-3.245	328.0	339.05	341.0	325.69	339.0	3888086	1.74551	1297833710	135.537	13.763	7954481.9304	7306118.6232
2904	002820	桂发祥	-1.754	10.08	10.2	10.25	10.06	10.26	953500	0.47032	9674942	24.0	1.944	206438.4	204357.606768
2905	002819	东方中科	-2.9939999999999998	32.72	33.43	33.78	32.64	33.73	1038110	0.7439	34383419	91.371	9.96	521763.446432	456608.898984
2906	002818	富森美	-1.9969999999999999	13.74	14.0	14.28	13.59	14.02	2411750	0.8082800000000001	33176483	12.841	1.957	1032889.74324	409972.410744
2907	002817	黄山胶囊	-0.982	12.1	12.22	12.36	11.9	12.22	1077897	1.11661	13081968	26.889	2.377	178280.19	116804.688
2908	002816	和科达	-0.865	22.91	23.11	23.49	22.71	23.11	777500	0.7981300000000001	17792858	-33.691	5.111	229100.0	223178.690564
2909	002815	崇达技术	-2.602	13.1	13.42	13.42	13.06	13.45	5527696	1.30401	72965024	20.794	2.89	1156136.27787	555306.90531
2910	002813	路畅科技	-5.523	28.91	29.94	30.25	28.64	30.6	12432940	35.97819	362368637	-9.867	13.013	346920.0	99903.948753
2911	002812	恩捷股份	0.989	142.9	144.0	148.08	140.01	141.5	10620635	1.96907	1534347932	134.811	12.722	12669037.74288	7707658.18969
2912	002811	郑中设计	-2.2439999999999998	7.84	8.18	8.18	7.82	8.02	621651	0.25526000000000004	4934036	10.595	1.436	211695.018304	190935.164784
2913	002810	山东赫达	-3.827	49.0	50.23	52.65	48.5	50.95	5186693	2.88784	260990978	57.364	9.272	984055.9113	880063.6082
2914	002809	红墙股份	-1.325	9.68	9.93	9.99	9.63	9.81	1197333	0.9477800000000001	11779301	9.047	1.577	200033.213776	122288.26764
2915	002808	恒久科技	-1.09	7.26	7.38	7.38	7.19	7.34	2046684	1.19429	14846134	93.077	3.317	195148.8	124416.395796
2916	002807	江阴银行	-0.484	4.11	4.11	4.13	4.08	4.13	13787600	0.6355400000000001	56528150	8.268	0.784	892693.697841	891636.160728
2917	002806	华锋股份	-3.365	10.05	10.41	10.46	10.0	10.4	1195600	1.06633	12088478	50.25	1.417	177418.8609	112683.61701
2918	002805	丰元股份	-4.961	16.86	17.29	17.6	16.53	17.74	13542385	13.9734	230285979	210.75	4.163	245095.0002	163399.512768
2919	002803	吉宏股份	4.723	32.37	30.81	32.48	30.0	30.91	11817961	4.25647	375813522	21.296	7.091	1224910.865256	898744.329522
2920	002802	洪汇新材	-3.926	20.31	21.14	21.21	20.23	21.14	503516	0.8424400000000001	10333271	24.768	3.9619999999999997	220051.7415	121390.641993
2921	002801	微光股份	0.134	37.35	37.31	37.55	36.8	37.3	3042300	4.02489	113055538	26.679	5.103	571783.68	282318.192
2922	002800	天顺股份	-1.799	16.92	17.29	17.29	16.8	17.23	466400	0.65124	7915036	62.667	2.648	126358.56	121176.282096
2923	002799	环球印务	-3.976	19.08	19.57	19.95	19.03	19.87	4392857	2.44048	84788487	43.364	5.268	343440.0	343440.0
2924	002798	帝欧家居	-3.472	19.74	20.4	20.48	19.7	20.45	5189514	2.2063	103909560	13.248	1.8820000000000001	767778.543336	464312.068836
2925	002797	第一创业	-2.063	8.07	8.07	8.25	8.02	8.24	103438426	2.50311	838447598	55.274	2.48	3391336.8	3334846.8
2926	002796	世嘉科技	-2.308	12.7	12.71	13.32	12.2	13.0	6505121	3.0262000000000002	83727254	22.281	2.059	320582.22396	272999.23302
2927	002795	永和智控	-0.59	11.8	12.0	12.07	11.5	11.87	3253500	1.8325200000000001	38224855	39.333	3.664	236000.0	209499.56
2928	002793	罗欣药业	-1.5110000000000001	10.43	10.6	10.72	10.4	10.59	2004717	0.68791	20948090	17.678	3.758	1530313.1718	303951.449039
2929	002792	通宇通讯	-3.23	16.78	17.01	17.11	16.74	17.34	2646476	1.5213100000000002	44629223	239.714	2.806	566895.8556	291905.663626
2930	002791	坚朗五金	0.011	174.15	174.13	176.92	172.03	174.13	1627380	1.04028	283683892	125.288	15.302	5599619.1	2724346.1754
